place,player,player_key,league,movement,country,points,download_time
266,Geoffrey Blancaneaux,409.0,ATP,up,France,200,2026-02-12 02:42:18
267,Nicolas Kicker,1756.0,ATP,down,Argentina,200,2026-02-12 02:42:18
268,Tiago Pereira,4077.0,ATP,down,Portugal,200,2026-02-12 02:42:18
269,Saba Purtseladze,1202.0,ATP,down,Georgia,199,2026-02-12 02:42:18
270,Andres Martin,1056.0,ATP,down,USA,198,2026-02-12 02:42:18
271,Florent Bax,2105.0,ATP,down,France,197,2026-02-12 02:42:18
272,Benjamin Hassan,1896.0,ATP,up,Lebanon,196,2026-02-12 02:42:18
273,Stefan Kozlov,1087.0,ATP,down,USA,196,2026-02-12 02:42:18
274,Nikolas Sanchez Izquierdo,591.0,ATP,down,Spain,194,2026-02-12 02:42:18
275,Stefanos Sakellaridis,742.0,ATP,same,Greece,193,2026-02-12 02:42:18
276,Alejandro Moro Canas,1331.0,ATP,up,Spain,191,2026-02-12 02:42:18
277,Alejandro Dellien Velasco Murkel,7334.0,ATP,up,Bolivia,186,2026-02-12 02:42:18
278,Pablo Varillas Juan,391.0,ATP,down,Peru,184,2026-02-12 02:42:18
279,Andrej Nedic,9640.0,ATP,down,Bosnia and Herzegovina,184,2026-02-12 02:42:18
280,Darwin Blanch,17463.0,ATP,up,USA,184,2026-02-12 02:42:18
281,Liam Broady,410.0,ATP,down,United Kingdom,184,2026-02-12 02:42:18
282,Henri Squire,907.0,ATP,down,Germany,183,2026-02-12 02:42:18
283,Michael Geerts,587.0,ATP,up,Belgium,183,2026-02-12 02:42:18
284,Kei Nishikori,2985.0,ATP,down,Japan,182,2026-02-12 02:42:18
285,Facundo Diaz Acosta,2002.0,ATP,down,Argentina,182,2026-02-12 02:42:18
286,Petr Brunclik,38921.0,ATP,down,Czech Republic,181,2026-02-12 02:42:18
287,Hynek Barton,2241.0,ATP,down,Czech Republic,180,2026-02-12 02:42:18
288,Fabrizio Andaloro,9568.0,ATP,down,Italy,180,2026-02-12 02:42:18
289,Matheus Pucinelli de Almeida,1743.0,ATP,down,Brazil,180,2026-02-12 02:42:18
290,Robin Bertrand,808.0,ATP,down,France,180,2026-02-12 02:42:18
291,Lilian Marmousez,835.0,ATP,down,France,179,2026-02-12 02:42:18
292,Beibit Zhukayev,579.0,ATP,down,Kazakhstan,178,2026-02-12 02:42:18
293,Sumit Nagal,1077.0,ATP,up,India,178,2026-02-12 02:42:18
294,Alex Rybakov,559.0,ATP,down,USA,177,2026-02-12 02:42:18
295,Calvin Hemery,1206.0,ATP,up,France,177,2026-02-12 02:42:18
296,Mats Rosenkranz,1850.0,ATP,down,Germany,177,2026-02-12 02:42:18
297,Yasutaka Uchiyama,884.0,ATP,down,Japan,176,2026-02-12 02:42:18
298,Norbert Gombos,397.0,ATP,down,Slovakia,175,2026-02-12 02:42:18
299,Marat Sharipov,830.0,ATP,down,World,174,2026-02-12 02:42:18
300,Michael Mmoh,439.0,ATP,up,USA,172,2026-02-12 02:42:18
301,Maximus Jones,680.0,ATP,down,Thailand,172,2026-02-12 02:42:18
302,Sandro Kopp,848.0,ATP,down,Austria,171,2026-02-12 02:42:18
303,Garrett Johns,7637.0,ATP,up,USA,171,2026-02-12 02:42:18
304,Harry Wendelken,7009.0,ATP,down,United Kingdom,169,2026-02-12 02:42:18
305,Petr Bar Biryukov,14515.0,ATP,down,World,169,2026-02-12 02:42:18
306,Jacopo Berrettini,6984.0,ATP,up,Italy,168,2026-02-12 02:42:18
307,Gianluca Cadenasso,38798.0,ATP,down,Italy,166,2026-02-12 02:42:18
308,Keegan Smith,6011.0,ATP,down,USA,165,2026-02-12 02:42:18
309,Akira Santillan,868.0,ATP,down,Japan,165,2026-02-12 02:42:18
310,Abedallah Shelbayh,9219.0,ATP,up,Jordan,164,2026-02-12 02:42:18
311,Viktor Durasovic,1201.0,ATP,down,Norway,164,2026-02-12 02:42:18
312,Diego Dedura,55858.0,ATP,down,Germany,164,2026-02-12 02:42:18
313,Eliakim Coulibaly,11110.0,ATP,down,Ivory Coast,163,2026-02-12 02:42:18
314,Adrian Boitan Gabi,9132.0,ATP,down,Romania,161,2026-02-12 02:42:18
315,Miguel Damas,1209.0,ATP,down,Spain,161,2026-02-12 02:42:18
316,Philip Henning,23664.0,ATP,down,South Africa,160,2026-02-12 02:42:18
317,Gauthier Onclin,818.0,ATP,down,Belgium,160,2026-02-12 02:42:18
318,Mathys Erhard,668.0,ATP,down,France,159,2026-02-12 02:42:18
319,Cedrik-Marcel Stebe,387.0,ATP,down,Germany,158,2026-02-12 02:42:18
320,Renta Tokuda,5212.0,ATP,down,Japan,157,2026-02-12 02:42:18
321,Matias Soto,9035.0,ATP,down,Chile,157,2026-02-12 02:42:18
322,Federico Coria,433.0,ATP,up,Argentina,156,2026-02-12 02:42:18
323,Maxim Mrva,38850.0,ATP,down,Czech Republic,156,2026-02-12 02:42:18
324,Daniel Dutra Da Silva,558.0,ATP,down,Brazil,155,2026-02-12 02:42:18
325,Kent Trotter James,9193.0,ATP,down,Japan,153,2026-02-12 02:42:18
326,Felix Gill,1208.0,ATP,down,United Kingdom,152,2026-02-12 02:42:18
327,Duje Ajdukovic,392.0,ATP,down,Croatia,151,2026-02-12 02:42:18
328,Sergey Fomin,570.0,ATP,down,Uzbekistan,151,2026-02-12 02:42:18
